feature,importance
PolicyHolderFault,23.66987979183704
BasePolicy,9.983385769110233
Year,9.980476578136747
Fault,9.259715441794725
MonthClaimed_Num,5.833702502036578
Month_Num,4.823913054685479
Fault_NoPolice,2.9262556407340217
AddressChange_Claim,2.6263209921484063
PolicyType,2.5303771478114974
VehicleCategory,2.1629549446183343
WeekGap,2.150251815079308
AddressChange_Claim_Num,1.5207471142897016
NumberOfSuppliments,1.4478531949724973
Make,1.2157582083009593
PastNumberOfClaims,1.1869370001109818
DriverRating,1.0341720345944645
NumberOfSuppliments_Num,1.029653704451448
Deductible,0.9582492351976098
AgeOfPolicyHolder_Num,0.8735827905983667
SameDayOfWeek,0.7560162392965238
Age,0.748935180669583
VehiclePrice,0.7290440557365796
DayOfWeek,0.7039507525225207
AgeOfPolicyHolder,0.7025970551577063
RiskFlagCount,0.6934297369316876
WeekOfMonthClaimed,0.6646219491265007
Age_x_PastClaims,0.6342996997693344
DayOfWeekClaimed_Num,0.6139544943546579
AgentType,0.579371740606381
PastNumberOfClaims_Num,0.5789485784066258
Age_x_Deductible,0.5677581280429226
MonthClaimed,0.5601549117553449
AgeOfVehicle,0.5527477698068549
DayOfWeekClaimed,0.5432154219276207
NumberOfCars,0.5082749428843207
PriceToDeductible,0.48858619694472705
WeekOfMonth,0.4752853416564596
Cars_x_Suppliments,0.42153209637216893
Month,0.4211049582569372
AgeOfVehicle_Num,0.3946665179032604
RepNumber,0.3368432958684226
MaritalStatus,0.3038484622331432
DayOfWeek_Num,0.2582274182616731
MonthGap,0.2428512122704542
VehiclePrice_Num,0.233128017118495
PoliceReportFiled,0.17251300791059376
Days_Policy_Claim,0.17005753199733104
NumberOfCars_Num,0.13863297555181503
Sex,0.13804315357148822
HasPastClaims,0.07599992575454406
NoPoliceReport,0.07208769174575111
Days_Policy_Accident,0.07162097757904319
Days_Policy_Accident_Num,0.06011742331357838
PolicyAge_x_ClaimDelay,0.04471156738668115
WeekendClaim,0.034081755171710935
Days_Policy_Claim_Num,0.03263421155301605
AccidentArea,0.028775131235766686
YoungDriver,0.018783316682322852
ExternalAgent,0.014360196157063958
WitnessPresent,0.0
WeekendAccident,0.0
HighDeductible,0.0
NoReportNoWitness,0.0
NoWitness,0.0
RecentAddressChange,0.0
