feature,mean_abs_shap
Fault,0.82294469744372
Liability_NoPolice,0.546435144662851
PolicyHolderFault,0.24613098197218156
Fault_NoPolice,0.24372078981879727
BasePolicy,0.21796118294387093
PolicyType,0.12094890768184018
Year,0.10636869033233805
WeekGap,0.09252656852906745
Month_Num,0.0847024518705002
MonthClaimed_Num,0.06438208695285491
AddressChange_Claim,0.057352355506964124
SameDayOfWeek,0.04642789596057963
Age,0.024882210892401998
RepNumber,0.0232851961879686
Deductible,0.021590287772134856
VehiclePrice_Num,0.020932074069282266
NumberOfSuppliments_Num,0.019073982331588985
VehicleCategory,0.017806571739861717
VehiclePrice,0.014953732055842838
Age_x_PastClaims,0.014115271722124281
HighSupplements,0.013632748273200272
NumberOfSuppliments,0.013605238576381486
PriceToDeductible,0.011657469435263404
AgeOfPolicyHolder,0.010616777181196708
AgeOfVehicle_Num,0.010501061853701261
DriverRating,0.00995393874467097
MonthClaimed,0.009882689808934112
DayOfWeek_Num,0.00906561936133483
Cars_x_Suppliments,0.008890791110627256
PastNumberOfClaims_Num,0.007262131391089273
Sex,0.00668888161938713
Age_x_Deductible,0.006049133027298716
DayOfWeekClaimed_Num,0.005550158198180859
AgentType,0.004926304514867141
PastNumberOfClaims,0.0048350722506819615
WeekOfMonthClaimed,0.004589399626138238
WeekOfMonth,0.004508138615440235
RiskFlagCount,0.004500949278083619
AddressChange_Claim_Num,0.004429779171150692
DayOfWeek,0.0033154391484434623
ExternalAgent,0.0032687935685620393
AgeOfPolicyHolder_Num,0.002525658552199289
NumberOfCars,0.0024932738170073705
Month,0.0016352240495006306
MonthGap,0.0015681895062168718
AgeOfVehicle,0.0015390244943621542
WeekendAccident,0.0012506465457434212
DayOfWeekClaimed,0.0009417546355771153
NoReportNoWitness,0.0008640996988086226
PolicyAge_x_ClaimDelay,0.0007161379423206476
Days_Policy_Accident,0.0006245642167161596
MaritalStatus,0.0005604482888441459
NumberOfCars_Num,0.0005590658676713791
Days_Policy_Claim,0.0004626357946867227
Days_Policy_Claim_Num,0.000409811674316003
Days_Policy_Accident_Num,0.00023858342278565076
EarlyClaimFlag,0.00019665631069387484
Make,0.0
AccidentArea,0.0
PoliceReportFiled,0.0
WitnessPresent,0.0
WeekendClaim,0.0
NoPoliceReport,0.0
NoWitness,0.0
YoungDriver,0.0
HighDeductible,0.0
RecentAddressChange,0.0
HasPastClaims,0.0
VeryEarlyClaimFlag,0.0
Sport_YoungDriver,0.0
HighValue_Liability,0.0
ExternalAgent_NoPolice,0.0
