number,value,datetime_start,datetime_complete,duration,params_bagging_temperature,params_border_count,params_depth,params_l2_leaf_reg,params_learning_rate,params_random_strength,state
0,0.2413235076680119,2026-04-28 22:10:54.862549,2026-04-28 22:11:03.130939,0 days 00:00:08.268390,0.8661761457749352,32,6,14.907884894416696,0.13125830316209655,1.4016725176148133,COMPLETE
1,0.21847233130386226,2026-04-28 22:11:03.130979,2026-04-28 22:11:13.423398,0 days 00:00:10.292419,0.3042422429595377,32,8,19.428287191077892,0.010573268083515799,1.2871346474483567,COMPLETE
2,0.23441704967308433,2026-04-28 22:11:13.423436,2026-04-28 22:11:23.869347,0 days 00:00:10.445911,0.7851759613930136,254,7,12.62520499972521,0.022004527434741072,0.7995106732375397,COMPLETE
3,0.20704641338137575,2026-04-28 22:11:23.869442,2026-04-28 22:11:30.797556,0 days 00:00:06.928114,0.9656320330745594,254,7,1.8825578416799567,0.049743185797885274,1.7125960221746916,COMPLETE
4,0.22563466729071133,2026-04-28 22:11:30.797656,2026-04-28 22:11:37.703308,0 days 00:00:06.905652,0.9093204020787821,128,6,14.00042750373098,0.01302780710309028,0.8881699724000254,COMPLETE
5,0.1999077910149835,2026-04-28 22:11:37.703408,2026-04-28 22:11:45.776980,0 days 00:00:08.073572,0.9394989415641891,128,8,10.881292402378406,0.02325951592241212,1.8422410256414732,COMPLETE
6,0.20577362659716872,2026-04-28 22:11:45.777083,2026-04-28 22:11:54.092452,0 days 00:00:08.315369,0.2713490317738959,254,8,2.6813575389864703,0.12139707695554378,1.743106263727894,COMPLETE
7,0.23934276777564553,2026-04-28 22:11:54.092549,2026-04-28 22:12:01.323670,0 days 00:00:07.231121,0.7722447692966574,254,6,11.31122558000672,0.02139954903017622,0.7980735223012586,COMPLETE
8,0.22938594418007677,2026-04-28 22:12:01.323766,2026-04-28 22:12:06.105696,0 days 00:00:04.781930,0.11586905952512971,64,4,14.430289533104725,0.09100328259258599,1.7946551388133902,COMPLETE
9,0.22195909010725293,2026-04-28 22:12:06.105750,2026-04-28 22:12:14.565001,0 days 00:00:08.459251,0.8872127425763265,128,8,2.207608655434449,0.02450001073565503,1.2083223877429239,COMPLETE
10,0.21240200692701441,2026-04-28 22:12:14.565094,2026-04-28 22:12:24.257042,0 days 00:00:09.691948,0.5656130906814032,32,10,6.846190017554988,0.06379790025577511,1.363532990771455,COMPLETE
11,0.25154998078868906,2026-04-28 22:12:24.257131,2026-04-28 22:12:30.547923,0 days 00:00:06.290792,0.6858581615608261,32,5,17.742237595612288,0.03273330065859579,0.529424580826093,COMPLETE
12,0.25380563575391796,2026-04-28 22:12:30.548017,2026-04-28 22:12:35.974338,0 days 00:00:05.426321,0.6071842740332256,32,4,18.545165041122814,0.037586881692244827,0.5117292749571996,COMPLETE
13,0.24527307329540537,2026-04-28 22:12:35.974436,2026-04-28 22:12:41.202678,0 days 00:00:05.228242,0.6090738634337445,32,4,19.426153550117835,0.03928019805419373,0.5681833904672406,COMPLETE
14,0.248713356141301,2026-04-28 22:12:41.202770,2026-04-28 22:12:47.358148,0 days 00:00:06.155378,0.4375899110878525,32,5,16.741743108192704,0.036124323050328325,0.5044257042765813,COMPLETE
15,0.23786503878960916,2026-04-28 22:12:47.358240,2026-04-28 22:12:53.130547,0 days 00:00:05.772307,0.662818748635423,64,5,17.039575854523875,0.06512428493517428,0.98461570272453,COMPLETE
16,0.24980564213160195,2026-04-28 22:12:53.130647,2026-04-28 22:12:58.372155,0 days 00:00:05.241508,0.4134140996927128,32,4,17.22838420222083,0.040457671658096765,0.6214340126099187,COMPLETE
17,0.24302442909424168,2026-04-28 22:12:58.372238,2026-04-28 22:13:04.328808,0 days 00:00:05.956570,0.7094751123663875,32,5,7.160116081746413,0.02954022537020105,0.6865557955597156,COMPLETE
18,0.208155596928286,2026-04-28 22:13:04.328901,2026-04-28 22:13:10.085091,0 days 00:00:05.756190,0.5059394955034546,32,5,19.671036978778286,0.015507235191903421,1.1353827973516948,COMPLETE
19,0.23008637710084492,2026-04-28 22:13:10.085186,2026-04-28 22:13:15.945795,0 days 00:00:05.860609,0.031482747663612476,64,4,8.204882875989997,0.05650322983147716,1.0778731637764905,COMPLETE
