number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_reg_alpha,params_reg_lambda,params_subsample,state
0,0.21613844570832885,2026-04-28 22:10:19.672212,2026-04-28 22:10:23.269435,0 days 00:00:03.597223,0.5780093202212182,0.15599452033620265,0.13125830316209655,5,8,0.0001707396743152812,4.3977926559872085,0.8394633936788146,COMPLETE
1,0.24289563671478973,2026-04-28 22:10:23.269578,2026-04-28 22:10:26.531317,0 days 00:00:03.261739,0.9162213204002109,0.21233911067827616,0.06803900745073706,6,1,0.000533703276260396,1.325320294340452,0.9879639408647978,COMPLETE
2,0.23508496894079092,2026-04-28 22:10:26.531455,2026-04-28 22:10:27.778894,0 days 00:00:01.247439,0.8059264473611898,0.13949386065204183,0.04141536110538596,4,5,0.0014742753159914669,2.148628294821613,0.7164916560792167,COMPLETE
3,0.227526215812359,2026-04-28 22:10:27.778935,2026-04-28 22:10:29.116193,0 days 00:00:01.337258,0.7962072844310213,0.046450412719997725,0.0838375512850209,5,2,0.02692646910086179,1.2673585565928118,0.8056937753654446,COMPLETE
4,0.23439778814886794,2026-04-28 22:10:29.116337,2026-04-28 22:10:30.169550,0 days 00:00:01.053213,0.6523068845866853,0.09767211400638387,0.13060986669773664,3,10,0.054567254856014755,2.480686221828206,0.9233589392465844,COMPLETE
5,0.2352055543842996,2026-04-28 22:10:30.169586,2026-04-28 22:10:31.152005,0 days 00:00:00.982419,0.6293899908000085,0.662522284353982,0.03822726574649208,3,1,0.0017654048052495078,2.8403060953001487,0.9637281608315128,COMPLETE
6,0.25757877779604943,2026-04-28 22:10:31.152177,2026-04-28 22:10:32.632958,0 days 00:00:01.480781,0.9697494707820946,0.8948273504276488,0.016497027917250065,6,10,0.024637685958997457,4.6484340576040255,0.9100531293444458,COMPLETE
7,0.2353827815951377,2026-04-28 22:10:32.633016,2026-04-28 22:10:33.679803,0 days 00:00:01.046787,0.6943386448447411,0.2713490317738959,0.017001754132211097,3,1,0.20651425578959234,2.105389970121152,0.7301321323053057,COMPLETE
8,0.23672038313601607,2026-04-28 22:10:33.679938,2026-04-28 22:10:34.779009,0 days 00:00:01.099071,0.5372753218398854,0.9868869366005173,0.043477055106943,4,2,0.12273800987852965,1.3942205669037757,0.9208787923016158,COMPLETE
9,0.23549871708019243,2026-04-28 22:10:34.779046,2026-04-28 22:10:35.806902,0 days 00:00:01.027856,0.8856351733429728,0.07404465173409036,0.09100328259258599,3,8,0.00271558195528294,1.0214107678630837,0.8916028672163949,COMPLETE
10,0.2484315541370625,2026-04-28 22:10:35.807035,2026-04-28 22:10:37.638716,0 days 00:00:01.831681,0.9919371080730972,0.9076647952825178,0.010163732690779375,8,10,0.6903717055434684,4.895455354901289,0.6071847502459279,COMPLETE
11,0.2483975919481155,2026-04-28 22:10:37.638766,2026-04-28 22:10:39.514211,0 days 00:00:01.875445,0.9869601043141658,0.991817943969044,0.010098671964329344,8,10,0.8829045269251321,4.85821915809869,0.6068744601075835,COMPLETE
12,0.25028256847500635,2026-04-28 22:10:39.514338,2026-04-28 22:10:41.381927,0 days 00:00:01.867589,0.9851573881769597,0.7712176208336756,0.010113885084085918,8,8,0.9607101463951839,3.816923527975333,0.6026268487517209,COMPLETE
13,0.2493385434344222,2026-04-28 22:10:41.382064,2026-04-28 22:10:43.156840,0 days 00:00:01.774776,0.8983616693160987,0.6972126433588367,0.018911806048941177,7,7,0.007626762362677345,3.706536208157579,0.6908556046603515,COMPLETE
14,0.25815727756086326,2026-04-28 22:10:43.156977,2026-04-28 22:10:45.054343,0 days 00:00:01.897366,0.9360069719526356,0.76675651709759,0.01648733519834136,7,6,0.016001341600647357,3.716185991190572,0.8578694741072341,COMPLETE
15,0.2516517819419302,2026-04-28 22:10:45.054479,2026-04-28 22:10:46.575481,0 days 00:00:01.521002,0.8363473249845735,0.42558946436382866,0.02006946055241164,6,5,0.016866411966779057,3.4947262163516024,0.8563589059197367,COMPLETE
16,0.24816121666582472,2026-04-28 22:10:46.575614,2026-04-28 22:10:48.350885,0 days 00:00:01.775271,0.7360930010852564,0.5396338362675992,0.027367939033235485,7,4,0.006837739943865263,4.225042667558932,0.7856665984179805,COMPLETE
17,0.2620578086774976,2026-04-28 22:10:48.351018,2026-04-28 22:10:50.176547,0 days 00:00:01.825529,0.9453675784266224,0.8123664970769028,0.014884728254856629,7,6,0.057145569821481286,3.1983837998883082,0.8818865138366955,COMPLETE
18,0.2512723832386518,2026-04-28 22:10:50.176681,2026-04-28 22:10:51.942148,0 days 00:00:01.765467,0.8600102605695645,0.5487471097509931,0.023964830306975726,7,6,0.10030287729395863,3.125965605409045,0.7716099527379093,COMPLETE
19,0.2612880247332168,2026-04-28 22:10:51.942282,2026-04-28 22:10:53.678653,0 days 00:00:01.736371,0.9306738018697214,0.8268673109658373,0.013580430210386463,7,4,0.2077070957051449,3.2432841155784633,0.8458057637130224,COMPLETE
