feature,importance,std
PolicyHolderFault,0.09503747949443042,0.02363955130734642
Liability_NoPolice,0.06342299761757692,0.015325331650488617
Year,0.05925837190647214,0.020509307549199624
BasePolicy_Liability,0.05608853427299414,0.013115984099026748
PolicyType_Sedan - Collision,0.05172167971490717,0.013786554477386557
AddressChange_Claim_Num,0.05037172305994184,0.003940390763550585
Age_x_Deductible,0.042577967442824105,0.0124334643108481
Month_Num,0.04132876327584319,0.01567707902492388
MonthClaimed_Num,0.03153540259902461,0.018416366967470656
Fault_NoPolice,0.024413422210750036,0.02041281148683413
Deductible,0.022581263340767783,0.00035685573705911914
Age_x_PastClaims,0.022251160657133902,0.01407672175923808
Make_Accura,0.018991221208268527,0.0022352586983564312
WeekGap,0.018613275998013205,0.008808525862153244
NumberOfSuppliments_Num,0.01760101457343204,0.01874674426581965
PriceToDeductible,0.014837016751744791,0.0039471084141106715
Age,0.013897497295930223,0.015046014071467403
Sex_Female,0.013230722380193082,0.008231730542627602
VehiclePrice_Num,0.011694968525185418,0.004508872937548959
AgeOfVehicle_Num,0.011423539584737047,0.008063087494111845
RiskFlagCount,0.009707301720297535,0.004551052729364808
WeekOfMonthClaimed,0.008954356887556247,0.0035194608805152786
WeekOfMonth,0.008610854794874074,0.005624539341392083
Make_Chevrolet,0.008232004280178113,0.004187835138263185
DayOfWeekClaimed_Num,0.006525202144337638,0.004488849566372093
Sport_YoungDriver,0.004257876924099224,0.000586478251441583
MonthGap,0.0033124144482229887,0.007889049204879614
VehicleCategory_Utility,0.0027275562017190667,0.0003687081817012457
PolicyType_Sedan - All Perils,0.0026725753187978206,0.003942384537304348
DriverRating,0.0026219909516749518,0.0044474616239258856
SameDayOfWeek,0.0022487467622348987,0.005992554636955881
Sex_Male,0.001961530479781437,0.002085601293790589
AccidentArea_Rural,0.0018666456751128546,0.0017264567494476597
Make_Mazda,0.001728525823920407,0.0021553528072931747
NoReportNoWitness,0.0016673144841771903,0.007280154927809998
Cars_x_Suppliments,0.0014911979970250345,0.003618738374858215
MaritalStatus_Married,0.00129185164655935,0.0012494429543846775
MaritalStatus_Single,0.001052912385210103,0.0010257738920892113
NumberOfCars_Num,0.0008089560971621778,0.002876326529095574
PolicyType_Utility - All Perils,0.0005265547237071789,0.0002267750555605165
PolicyType_Sedan - Liability,0.0004187691485180167,0.0016814266514588554
PastNumberOfClaims_Num,0.0003243734952458721,0.002098578118147348
DayOfWeek_Num,0.0002936858830622169,0.0043124444828307774
AccidentArea_Urban,0.000255453588786414,4.699296584948149e-05
RecentAddressChange,0.00017383298021789173,0.0003427386609085225
Make_Toyota,0.00011387333353700124,0.0015193174666795403
Make_Pontiac,8.873591618515087e-05,0.001106696056009294
Make_Mercury,1.7380891787960318e-05,8.902575721233631e-05
MaritalStatus_Divorced,9.774635641290886e-06,5.9672802101603656e-05
NoPoliceReport,6.146321197109117e-06,0.0014319255588415255
PolicyType_Utility - Collision,0.0,0.0
PolicyType_Sport - Liability,0.0,0.0
Make_Saturn,0.0,0.0
Make_Porche,0.0,0.0
WeekendClaim,0.0,0.0
Days_Policy_Claim_Num,0.0,0.0
HighDeductible,0.0,0.0
NoWitness,0.0,0.0
PolicyType_Utility - Liability,0.0,0.0
Make_BMW,0.0,0.0
EarlyClaimFlag,0.0,0.0
YoungDriver,0.0,0.0
Make_Nisson,0.0,0.0
Make_Mecedes,0.0,0.0
MaritalStatus_Widow,0.0,0.0
PolicyType_Sport - All Perils,0.0,0.0
VeryEarlyClaimFlag,0.0,0.0
Make_Jaguar,0.0,0.0
Make_Ferrari,0.0,0.0
Make_Lexus,0.0,0.0
HighValue_Liability,0.0,0.0
VehicleCategory_Sedan,-2.6708593812785343e-05,0.0006189439277867086
PolicyAge_x_ClaimDelay,-0.00011627691791983308,0.0006850984265860345
ExternalAgent_NoPolice,-0.0001389619871986214,0.003529816479135467
HasPastClaims,-0.00017677108027128186,0.00018742535681577058
Make_Saab,-0.00020499683429590633,0.0005646964426907101
BasePolicy_Collision,-0.000226413963726535,0.00017511613619210678
WeekendAccident,-0.0002448732761333561,0.00011895785207201167
AgeOfPolicyHolder_Num,-0.0003683335681938904,0.00040916347778264617
RepNumber,-0.00044926921750522707,0.0060186815627422275
Make_Honda,-0.00046142692616895075,0.0004577244828902559
VehicleCategory_Sport,-0.0004721302103478264,0.0012461812265232325
Days_Policy_Accident_Num,-0.0005468749274276541,0.001519599941322319
Make_Ford,-0.0005987227349057211,0.0012887937092839314
ExternalAgent,-0.0006786955246307957,0.003426822172871167
HighSupplements,-0.001623262565408995,0.001479917218135033
Make_VW,-0.002179332420006502,0.005005483603868105
Make_Dodge,-0.0034902055440015956,0.00224395967074905
BasePolicy_All Perils,-0.005751500749745414,0.002705317389183565
PolicyType_Sport - Collision,-0.00742307915794207,0.0026957066559103213
