feature,mean_abs_shap
TotalReimbursed,1.1308249
TotalInpatientAmt,0.28840065
InpatientClaims,0.13218305
MaxInpatientReimbursed,0.075340986
TotalClaims,0.06985184
TotalOutpatientAmt,0.06137413
AvgInpatientReimbursed,0.057110764
UniquePatients_IP,0.03239776
UniquePatients,0.030802451
AvgChronicConditions,0.023898248
AvgOutpatientReimbursed,0.022609565
UniquePhysicians,0.02190735
InpatientRatio,0.021160936
OutpatientClaims,0.02019428
AvgReimbursedPerClaim,0.018759824
AvgIPAnnualReimb,0.010653857
UniquePatients_OP,0.0093745105
AvgOPAnnualReimb,0.007817479
MaxOutpatientReimbursed,0.006129631
UniqueStates,0.0035514382
PctDeceased,0.0026006773
AvgDeductible_IP,0.0
