risk_score,y_true,triage_bucket
0.97685903,1,SIU
0.94097686,1,SIU
0.84288305,1,SIU
0.8363669,1,SIU
0.83091116,1,SIU
0.82970476,0,SIU
0.82915694,1,SIU
0.82686824,0,SIU
0.8251062,0,SIU
0.8243389,1,SIU
0.8223382,1,SIU
0.8216351,0,SIU
0.82136846,0,SIU
0.81787556,0,SIU
0.81669474,1,SIU
0.8158512,0,SIU
0.8147202,0,SIU
0.8143367,0,SIU
0.81334794,1,SIU
0.8120728,1,SIU
0.811471,0,SIU
0.8111861,0,SIU
0.8109586,0,SIU
0.8104719,0,SIU
0.8099506,1,SIU
0.805751,0,SIU
0.80572486,1,SIU
0.8049338,0,SIU
0.8042036,0,SIU
0.8040239,0,SIU
0.8003749,1,SIU
0.7979719,0,SIU
0.7974651,0,SIU
0.7972169,0,SIU
0.795109,1,SIU
0.79340696,0,SIU
0.7933682,1,SIU
0.792183,0,SIU
0.7920223,0,SIU
0.7918583,0,SIU
0.79015285,1,SIU
0.7880583,1,SIU
0.78801584,0,SIU
0.78433573,1,SIU
0.78179216,0,SIU
0.7814433,0,SIU
0.7811031,0,SIU
0.78083545,0,SIU
0.7805478,0,SIU
0.7801048,1,SIU
0.7796929,1,SIU
0.7779687,1,SIU
0.7775061,0,SIU
0.7770872,0,SIU
0.77420795,0,SIU
0.7738204,0,SIU
0.77314895,0,SIU
0.7730171,0,SIU
0.77234536,0,SIU
0.7714606,0,SIU
0.7712093,1,SIU
0.76850116,1,SIU
0.7663599,0,SIU
0.7652628,1,SIU
0.7634442,0,SIU
0.76199305,0,SIU
0.7616085,0,SIU
0.760832,0,SIU
0.75795555,0,SIU
0.757769,0,SIU
0.7565509,0,SIU
0.7556504,0,SIU
0.7532187,0,SIU
0.7531156,0,SIU
0.7524296,0,SIU
0.751165,0,SIU
0.75100493,0,SIU
0.7503203,0,Manual Review
0.7487767,1,Manual Review
0.74874586,0,Manual Review
0.74873483,0,Manual Review
0.74820113,1,Manual Review
0.7469747,1,Manual Review
0.74582213,0,Manual Review
0.7444738,0,Manual Review
0.7427828,0,Manual Review
0.7420488,0,Manual Review
0.74139404,0,Manual Review
0.74044776,0,Manual Review
0.73827755,0,Manual Review
0.7376445,0,Manual Review
0.73745406,0,Manual Review
0.73681575,0,Manual Review
0.7366734,1,Manual Review
0.7365963,0,Manual Review
0.736437,0,Manual Review
0.7360604,0,Manual Review
0.73584354,0,Manual Review
0.7357805,0,Manual Review
0.73570913,1,Manual Review
0.73555696,0,Manual Review
0.73380613,0,Manual Review
0.7324702,0,Manual Review
0.73094535,0,Manual Review
0.7309286,1,Manual Review
0.7308264,0,Manual Review
0.7307713,0,Manual Review
0.73059213,0,Manual Review
0.7296488,0,Manual Review
0.72907424,1,Manual Review
0.7286595,0,Manual Review
0.72782147,1,Manual Review
0.7276857,0,Manual Review
0.72766316,0,Manual Review
0.72615534,0,Manual Review
0.7258714,1,Manual Review
0.72379994,0,Manual Review
0.7234319,0,Manual Review
0.7233163,0,Manual Review
0.7229663,0,Manual Review
0.7225712,0,Manual Review
0.7205037,0,Manual Review
0.72039694,0,Manual Review
0.7198181,0,Manual Review
0.7197981,1,Manual Review
0.7196589,1,Manual Review
0.7193752,1,Manual Review
0.7190527,1,Manual Review
0.7181858,0,Manual Review
0.7181212,0,Manual Review
0.7177011,0,Manual Review
0.7176612,1,Manual Review
0.71764386,0,Manual Review
0.71734476,0,Manual Review
0.7168637,0,Manual Review
0.7165519,1,Manual Review
0.7156886,1,Manual Review
0.713979,0,Manual Review
0.71328986,0,Manual Review
0.71324337,0,Manual Review
0.7127451,0,Manual Review
0.71273226,0,Manual Review
0.71227235,0,Manual Review
0.71219736,0,Manual Review
0.71187294,0,Manual Review
0.71185374,0,Manual Review
0.70977044,1,Manual Review
0.70976233,0,Manual Review
0.7094172,1,Manual Review
0.7088416,1,Manual Review
0.70865846,0,Manual Review
0.7085243,0,Manual Review
0.70829886,0,Manual Review
0.70818496,0,Manual Review
0.7063795,0,Manual Review
0.70627207,0,Manual Review
0.7060605,0,Manual Review
0.70342493,0,Manual Review
0.70283353,0,Manual Review
0.7022882,0,Manual Review
0.7018594,1,Manual Review
0.7016463,0,Manual Review
0.701529,0,Manual Review
0.6995064,0,Manual Review
0.698946,0,Manual Review
0.69815,0,Manual Review
0.69777316,1,Manual Review
0.6971623,1,Manual Review
0.69711316,1,Manual Review
0.69704366,1,Manual Review
0.69653314,0,Manual Review
0.6959672,0,Manual Review
0.6952253,0,Manual Review
0.69499063,0,Manual Review
0.6941666,0,Manual Review
0.69373655,0,Manual Review
0.69371736,0,Manual Review
0.6935069,0,Manual Review
0.6924713,0,Manual Review
0.6914856,0,Manual Review
0.690454,0,Manual Review
0.6897848,1,Manual Review
0.6894989,0,Manual Review
0.6894071,0,Manual Review
0.68921936,1,Manual Review
0.6885888,0,Manual Review
0.6876346,0,Manual Review
0.6872392,0,Manual Review
0.68706524,0,Manual Review
0.6870021,0,Manual Review
0.6864908,0,Manual Review
0.6861241,0,Manual Review
0.6857536,0,Manual Review
0.6857271,0,Manual Review
0.6856562,0,Manual Review
0.68563503,0,Manual Review
0.68489665,0,Manual Review
0.6846066,0,Manual Review
0.6845833,0,Manual Review
0.6833575,1,Manual Review
0.68285495,0,Manual Review
0.68248755,0,Manual Review
0.681638,0,Manual Review
0.6814486,0,Manual Review
0.6809596,0,Manual Review
0.6796292,0,Manual Review
0.6791908,0,Manual Review
0.67688787,0,Manual Review
0.6765131,0,Manual Review
0.6758143,0,Manual Review
0.67541397,0,Manual Review
0.6753926,0,Manual Review
0.67494076,0,Manual Review
0.6747668,0,Manual Review
0.67467153,0,Manual Review
0.67448086,0,Manual Review
0.6743581,0,Manual Review
0.6743027,0,Manual Review
0.6736749,0,Manual Review
0.67217565,0,Manual Review
0.6719717,0,Manual Review
0.6718453,1,Manual Review
0.6706892,0,Manual Review
0.6703881,0,Manual Review
0.6698939,0,Manual Review
0.66985154,1,Manual Review
0.66959614,1,Manual Review
0.6695266,0,Manual Review
0.6693901,0,Manual Review
0.6693412,0,Manual Review
0.6692726,0,Manual Review
0.66901845,0,Manual Review
0.6686328,0,Manual Review
0.6680903,0,Manual Review
0.6679991,1,Manual Review
0.66788995,0,Manual Review
0.667705,1,Manual Review
0.667652,0,Manual Review
0.66668385,0,Manual Review
0.66617006,0,Manual Review
0.6645336,0,Manual Review
0.664208,0,Manual Review
0.66342723,0,Manual Review
0.66333896,0,Manual Review
0.66225237,0,Manual Review
0.66129714,0,Manual Review
0.66119766,0,Manual Review
0.6609085,0,Manual Review
0.66074246,0,Manual Review
0.66071475,0,Manual Review
0.66007864,1,Manual Review
0.65983653,0,Manual Review
0.65975094,0,Manual Review
0.6592904,0,Manual Review
0.65927976,0,Manual Review
0.65921324,0,Manual Review
0.65906197,0,Manual Review
0.6584193,0,Manual Review
0.65802795,1,Manual Review
0.6569446,0,Manual Review
0.6561123,0,Manual Review
0.65577847,0,Manual Review
0.6557631,0,Manual Review
0.65385216,0,Manual Review
0.6537066,0,Manual Review
0.65343815,0,Manual Review
0.65308064,0,Manual Review
0.65160227,0,Manual Review
0.651564,0,Manual Review
0.6511668,0,Manual Review
0.65112567,0,Manual Review
0.65094364,0,Manual Review
0.6507946,1,Manual Review
0.65065557,0,Manual Review
0.6502174,0,Manual Review
0.65013677,0,Manual Review
0.64869744,0,Manual Review
0.6483741,0,Manual Review
0.6477246,0,Manual Review
0.64748853,1,Manual Review
0.64729,0,Manual Review
0.64712256,0,Manual Review
0.646907,0,Manual Review
0.6467073,0,Manual Review
0.6454075,0,Manual Review
0.6436306,0,Manual Review
0.6428082,0,Manual Review
0.64265156,0,Manual Review
0.6419275,0,Manual Review
0.64141995,0,Manual Review
0.6412757,0,Manual Review
0.64125097,0,Manual Review
0.6403159,0,Manual Review
