rank,val_index,risk_score,actual_fraud,feature,shap_value,direction
1,756,0.5703,1,AddressChange_Claim_2 to 3 years,0.1221,increases
1,756,0.5703,1,Deductible,0.1181,increases
1,756,0.5703,1,BasePolicy_Liability,0.067,increases
1,756,0.5703,1,Fault_Policy Holder,-0.0468,decreases
1,756,0.5703,1,Age,0.0146,increases
2,1170,0.5703,1,AddressChange_Claim_2 to 3 years,0.1221,increases
2,1170,0.5703,1,Deductible,0.1181,increases
2,1170,0.5703,1,BasePolicy_Liability,0.066,increases
2,1170,0.5703,1,Fault_Policy Holder,-0.0202,decreases
2,1170,0.5703,1,Age,0.012,increases
3,362,0.5561,1,AddressChange_Claim_2 to 3 years,0.1617,increases
3,362,0.5561,1,Deductible,0.078,increases
3,362,0.5561,1,BasePolicy_Liability,0.0516,increases
3,362,0.5561,1,Month_Dec,-0.0238,decreases
3,362,0.5561,1,Fault_Policy Holder,-0.0181,decreases
4,861,0.5459,0,BasePolicy_Liability,0.0658,increases
4,861,0.5459,0,Fault_Policy Holder,0.0595,increases
4,861,0.5459,0,PolicyType_Sedan - Collision,0.0222,increases
4,861,0.5459,0,VehicleCategory_Sport,0.0207,increases
4,861,0.5459,0,Age,0.0103,increases
5,51,0.5459,1,BasePolicy_Liability,0.0665,increases
5,51,0.5459,1,Fault_Policy Holder,0.0596,increases
5,51,0.5459,1,PolicyType_Sedan - Collision,0.0222,increases
5,51,0.5459,1,VehicleCategory_Sport,0.0207,increases
5,51,0.5459,1,Age,0.0104,increases
6,673,0.5459,1,BasePolicy_Liability,0.064,increases
6,673,0.5459,1,Fault_Policy Holder,0.0604,increases
6,673,0.5459,1,PolicyType_Sedan - Collision,0.0221,increases
6,673,0.5459,1,VehicleCategory_Sport,0.0207,increases
6,673,0.5459,1,Age,0.0119,increases
7,1293,0.5459,1,BasePolicy_Liability,0.0641,increases
7,1293,0.5459,1,Fault_Policy Holder,0.0599,increases
7,1293,0.5459,1,VehicleCategory_Sport,0.0207,increases
7,1293,0.5459,1,PolicyType_Sedan - Collision,0.0204,increases
7,1293,0.5459,1,Year,0.0116,increases
8,298,0.5459,0,BasePolicy_Liability,0.062,increases
8,298,0.5459,0,Fault_Policy Holder,0.0603,increases
8,298,0.5459,0,PolicyType_Sedan - Collision,0.0224,increases
8,298,0.5459,0,VehicleCategory_Sport,0.0207,increases
8,298,0.5459,0,Age,0.0119,increases
9,805,0.5459,0,BasePolicy_Liability,0.0654,increases
9,805,0.5459,0,Fault_Policy Holder,0.0596,increases
9,805,0.5459,0,PolicyType_Sedan - Collision,0.0222,increases
9,805,0.5459,0,VehicleCategory_Sport,0.0207,increases
9,805,0.5459,0,Age,0.01,increases
10,699,0.5459,1,BasePolicy_Liability,0.0656,increases
10,699,0.5459,1,Fault_Policy Holder,0.0595,increases
10,699,0.5459,1,PolicyType_Sedan - Collision,0.0222,increases
10,699,0.5459,1,VehicleCategory_Sport,0.0207,increases
10,699,0.5459,1,Age,0.0103,increases
11,1359,0.5459,1,BasePolicy_Liability,0.066,increases
11,1359,0.5459,1,Fault_Policy Holder,0.0596,increases
11,1359,0.5459,1,PolicyType_Sedan - Collision,0.0223,increases
11,1359,0.5459,1,VehicleCategory_Sport,0.0207,increases
11,1359,0.5459,1,Age,0.0104,increases
12,1317,0.5459,1,BasePolicy_Liability,0.0625,increases
12,1317,0.5459,1,Fault_Policy Holder,0.0586,increases
12,1317,0.5459,1,PolicyType_Sedan - Collision,0.0467,increases
12,1317,0.5459,1,VehicleCategory_Sport,0.0207,increases
12,1317,0.5459,1,Month_Jul,-0.0174,decreases
13,489,0.5454,0,BasePolicy_Liability,0.0659,increases
13,489,0.5454,0,Fault_Policy Holder,0.059,increases
13,489,0.5454,0,PolicyType_Sedan - Collision,0.0206,increases
13,489,0.5454,0,Age,0.016,increases
13,489,0.5454,0,BasePolicy_All Perils,0.0116,increases
14,778,0.5454,0,BasePolicy_Liability,0.0645,increases
14,778,0.5454,0,Fault_Policy Holder,0.0595,increases
14,778,0.5454,0,PolicyType_Sedan - Collision,0.0222,increases
14,778,0.5454,0,Age,0.0159,increases
14,778,0.5454,0,BasePolicy_All Perils,0.0116,increases
15,575,0.5454,0,BasePolicy_Liability,0.065,increases
15,575,0.5454,0,Fault_Policy Holder,0.0592,increases
15,575,0.5454,0,PolicyType_Sedan - Collision,0.0206,increases
15,575,0.5454,0,BasePolicy_All Perils,0.0128,increases
15,575,0.5454,0,Age,0.0121,increases
16,1531,0.5454,0,BasePolicy_Liability,0.0663,increases
16,1531,0.5454,0,Fault_Policy Holder,0.0596,increases
16,1531,0.5454,0,PolicyType_Sedan - Collision,0.0222,increases
16,1531,0.5454,0,Age,0.0156,increases
16,1531,0.5454,0,BasePolicy_All Perils,0.0116,increases
17,645,0.5454,0,BasePolicy_Liability,0.0671,increases
17,645,0.5454,0,Fault_Policy Holder,0.0596,increases
17,645,0.5454,0,PolicyType_Sedan - Collision,0.0222,increases
17,645,0.5454,0,Age,0.0158,increases
17,645,0.5454,0,BasePolicy_All Perils,0.0117,increases
18,1493,0.5454,0,BasePolicy_Liability,0.0624,increases
18,1493,0.5454,0,Fault_Policy Holder,0.0584,increases
18,1493,0.5454,0,Age,0.0399,increases
18,1493,0.5454,0,PolicyType_Sedan - Collision,0.0203,increases
18,1493,0.5454,0,Make_Chevrolet,-0.0155,decreases
19,896,0.5454,0,BasePolicy_Liability,0.0639,increases
19,896,0.5454,0,Fault_Policy Holder,0.0603,increases
19,896,0.5454,0,PolicyType_Sedan - Collision,0.0223,increases
19,896,0.5454,0,Age,0.0167,increases
19,896,0.5454,0,BasePolicy_All Perils,0.0116,increases
20,379,0.5454,0,BasePolicy_Liability,0.0672,increases
20,379,0.5454,0,Fault_Policy Holder,0.0597,increases
20,379,0.5454,0,PolicyType_Sedan - Collision,0.0222,increases
20,379,0.5454,0,BasePolicy_All Perils,0.0133,increases
20,379,0.5454,0,Age,0.0121,increases
21,62,0.5454,0,BasePolicy_Liability,0.0645,increases
21,62,0.5454,0,Fault_Policy Holder,0.0603,increases
21,62,0.5454,0,PolicyType_Sedan - Collision,0.0224,increases
21,62,0.5454,0,Age,0.0174,increases
21,62,0.5454,0,BasePolicy_All Perils,0.0116,increases
22,418,0.5454,0,Fault_Policy Holder,0.0588,increases
22,418,0.5454,0,BasePolicy_Liability,0.0582,increases
22,418,0.5454,0,PolicyType_Sedan - Collision,0.0292,increases
22,418,0.5454,0,BasePolicy_All Perils,0.018,increases
22,418,0.5454,0,Age,0.0162,increases
23,820,0.5454,0,BasePolicy_Liability,0.0663,increases
23,820,0.5454,0,Fault_Policy Holder,0.0595,increases
23,820,0.5454,0,PolicyType_Sedan - Collision,0.0222,increases
23,820,0.5454,0,Age,0.0158,increases
23,820,0.5454,0,BasePolicy_All Perils,0.0116,increases
24,846,0.5454,1,BasePolicy_Liability,0.0674,increases
24,846,0.5454,1,Fault_Policy Holder,0.0567,increases
24,846,0.5454,1,PolicyType_Sedan - Collision,0.0218,increases
24,846,0.5454,1,Age,0.0156,increases
24,846,0.5454,1,BasePolicy_All Perils,0.0117,increases
25,458,0.5454,0,BasePolicy_Liability,0.0638,increases
25,458,0.5454,0,Fault_Policy Holder,0.0588,increases
25,458,0.5454,0,Age,0.0298,increases
25,458,0.5454,0,PolicyType_Sedan - Collision,0.0204,increases
25,458,0.5454,0,Make_Chevrolet,-0.0107,decreases
26,740,0.5454,0,BasePolicy_Liability,0.0655,increases
26,740,0.5454,0,Fault_Policy Holder,0.0582,increases
26,740,0.5454,0,PolicyType_Sedan - Collision,0.0482,increases
26,740,0.5454,0,Month_Jul,-0.0174,decreases
26,740,0.5454,0,BasePolicy_All Perils,0.0116,increases
27,441,0.5454,0,BasePolicy_Liability,0.0642,increases
27,441,0.5454,0,Fault_Policy Holder,0.0598,increases
27,441,0.5454,0,PolicyType_Sedan - Collision,0.0218,increases
27,441,0.5454,0,Age,0.014,increases
27,441,0.5454,0,BasePolicy_All Perils,0.0128,increases
28,831,0.5454,0,BasePolicy_Liability,0.064,increases
28,831,0.5454,0,Fault_Policy Holder,0.0595,increases
28,831,0.5454,0,PolicyType_Sedan - Collision,0.0222,increases
28,831,0.5454,0,Age,0.0159,increases
28,831,0.5454,0,BasePolicy_All Perils,0.0116,increases
29,828,0.5454,1,BasePolicy_Liability,0.0671,increases
29,828,0.5454,1,Fault_Policy Holder,0.0596,increases
29,828,0.5454,1,PolicyType_Sedan - Collision,0.0218,increases
29,828,0.5454,1,Age,0.0156,increases
