rank,risk_score,actual_fraud,reason_code
1,1.0,1,[MILD] High risk: AddressChange_Claim = '2 to 3 years' (SHAP: +0.1221)
1,1.0,1,[MILD] High risk: Deductible (SHAP: +0.1181)
1,1.0,1,[MILD] High risk: BasePolicy = 'Liability' (SHAP: +0.0670)
1,1.0,1,[MILD] Low risk: Fault = 'Policy Holder' (SHAP: -0.0468)
1,1.0,1,[MILD] High risk: Age (SHAP: +0.0146)
2,1.0,1,[MILD] High risk: AddressChange_Claim = '2 to 3 years' (SHAP: +0.1221)
2,1.0,1,[MILD] High risk: Deductible (SHAP: +0.1181)
2,1.0,1,[MILD] High risk: BasePolicy = 'Liability' (SHAP: +0.0660)
2,1.0,1,[MILD] Low risk: Fault = 'Policy Holder' (SHAP: -0.0202)
2,1.0,1,[MILD] High risk: Age (SHAP: +0.0120)
3,1.0,1,[MILD] High risk: AddressChange_Claim = '2 to 3 years' (SHAP: +0.1617)
3,1.0,1,[MILD] High risk: Deductible (SHAP: +0.0780)
3,1.0,1,[MILD] High risk: BasePolicy = 'Liability' (SHAP: +0.0516)
3,1.0,1,[MILD] Low risk: Month = 'Dec' (SHAP: -0.0238)
3,1.0,1,[MILD] Low risk: Fault = 'Policy Holder' (SHAP: -0.0181)
4,0.6667,1,[MILD] High risk: BasePolicy = 'Liability' (SHAP: +0.0665)
4,0.6667,1,[MILD] High risk: Fault = 'Policy Holder' (SHAP: +0.0596)
4,0.6667,1,[MILD] High risk: PolicyType = 'Sedan - Collision' (SHAP: +0.0222)
4,0.6667,1,[MILD] High risk: VehicleCategory = 'Sport' (SHAP: +0.0207)
4,0.6667,1,[MILD] High risk: Age (SHAP: +0.0104)
5,0.6667,1,[MILD] High risk: BasePolicy = 'Liability' (SHAP: +0.0656)
5,0.6667,1,[MILD] High risk: Fault = 'Policy Holder' (SHAP: +0.0595)
5,0.6667,1,[MILD] High risk: PolicyType = 'Sedan - Collision' (SHAP: +0.0222)
5,0.6667,1,[MILD] High risk: VehicleCategory = 'Sport' (SHAP: +0.0207)
5,0.6667,1,[MILD] High risk: Age (SHAP: +0.0103)
6,0.6667,1,[MILD] High risk: BasePolicy = 'Liability' (SHAP: +0.0625)
6,0.6667,1,[MILD] High risk: Fault = 'Policy Holder' (SHAP: +0.0586)
6,0.6667,1,[MILD] High risk: PolicyType = 'Sedan - Collision' (SHAP: +0.0467)
6,0.6667,1,[MILD] High risk: VehicleCategory = 'Sport' (SHAP: +0.0207)
6,0.6667,1,[MILD] Low risk: Month = 'Jul' (SHAP: -0.0174)
7,0.6667,0,[MILD] High risk: BasePolicy = 'Liability' (SHAP: +0.0654)
7,0.6667,0,[MILD] High risk: Fault = 'Policy Holder' (SHAP: +0.0596)
7,0.6667,0,[MILD] High risk: PolicyType = 'Sedan - Collision' (SHAP: +0.0222)
7,0.6667,0,[MILD] High risk: VehicleCategory = 'Sport' (SHAP: +0.0207)
7,0.6667,0,[MILD] High risk: Age (SHAP: +0.0100)
8,0.6667,1,[MILD] High risk: BasePolicy = 'Liability' (SHAP: +0.0640)
8,0.6667,1,[MILD] High risk: Fault = 'Policy Holder' (SHAP: +0.0604)
8,0.6667,1,[MILD] High risk: PolicyType = 'Sedan - Collision' (SHAP: +0.0221)
8,0.6667,1,[MILD] High risk: VehicleCategory = 'Sport' (SHAP: +0.0207)
8,0.6667,1,[MILD] High risk: Age (SHAP: +0.0119)
9,0.6667,1,[MILD] High risk: BasePolicy = 'Liability' (SHAP: +0.0660)
9,0.6667,1,[MILD] High risk: Fault = 'Policy Holder' (SHAP: +0.0596)
9,0.6667,1,[MILD] High risk: PolicyType = 'Sedan - Collision' (SHAP: +0.0223)
9,0.6667,1,[MILD] High risk: VehicleCategory = 'Sport' (SHAP: +0.0207)
9,0.6667,1,[MILD] High risk: Age (SHAP: +0.0104)
10,0.6667,1,[MILD] High risk: BasePolicy = 'Liability' (SHAP: +0.0641)
10,0.6667,1,[MILD] High risk: Fault = 'Policy Holder' (SHAP: +0.0599)
10,0.6667,1,[MILD] High risk: VehicleCategory = 'Sport' (SHAP: +0.0207)
10,0.6667,1,[MILD] High risk: PolicyType = 'Sedan - Collision' (SHAP: +0.0204)
10,0.6667,1,[MILD] High risk: Year (SHAP: +0.0116)
11,0.6667,0,[MILD] High risk: BasePolicy = 'Liability' (SHAP: +0.0658)
11,0.6667,0,[MILD] High risk: Fault = 'Policy Holder' (SHAP: +0.0595)
11,0.6667,0,[MILD] High risk: PolicyType = 'Sedan - Collision' (SHAP: +0.0222)
11,0.6667,0,[MILD] High risk: VehicleCategory = 'Sport' (SHAP: +0.0207)
11,0.6667,0,[MILD] High risk: Age (SHAP: +0.0103)
12,0.6667,0,[MILD] High risk: BasePolicy = 'Liability' (SHAP: +0.0620)
12,0.6667,0,[MILD] High risk: Fault = 'Policy Holder' (SHAP: +0.0603)
12,0.6667,0,[MILD] High risk: PolicyType = 'Sedan - Collision' (SHAP: +0.0224)
12,0.6667,0,[MILD] High risk: VehicleCategory = 'Sport' (SHAP: +0.0207)
12,0.6667,0,[MILD] High risk: Age (SHAP: +0.0119)
13,0.1961,1,[MILD] High risk: BasePolicy = 'Liability' (SHAP: +0.0674)
13,0.1961,1,[MILD] High risk: Fault = 'Policy Holder' (SHAP: +0.0567)
13,0.1961,1,[MILD] High risk: PolicyType = 'Sedan - Collision' (SHAP: +0.0218)
13,0.1961,1,[MILD] High risk: Age (SHAP: +0.0156)
13,0.1961,1,[MILD] High risk: BasePolicy = 'All Perils' (SHAP: +0.0117)
14,0.1961,0,[MILD] High risk: BasePolicy = 'Liability' (SHAP: +0.0672)
14,0.1961,0,[MILD] High risk: Fault = 'Policy Holder' (SHAP: +0.0597)
14,0.1961,0,[MILD] High risk: PolicyType = 'Sedan - Collision' (SHAP: +0.0222)
14,0.1961,0,[MILD] High risk: BasePolicy = 'All Perils' (SHAP: +0.0133)
14,0.1961,0,[MILD] High risk: Age (SHAP: +0.0121)
15,0.1961,1,[MILD] High risk: BasePolicy = 'Liability' (SHAP: +0.0658)
15,0.1961,1,[MILD] High risk: Fault = 'Policy Holder' (SHAP: +0.0586)
15,0.1961,1,[MILD] High risk: PolicyType = 'Sedan - Collision' (SHAP: +0.0297)
15,0.1961,1,[MILD] High risk: BasePolicy = 'All Perils' (SHAP: +0.0181)
15,0.1961,1,[MILD] High risk: Age (SHAP: +0.0154)
16,0.1961,0,[MILD] High risk: BasePolicy = 'Liability' (SHAP: +0.0624)
16,0.1961,0,[MILD] High risk: Fault = 'Policy Holder' (SHAP: +0.0584)
16,0.1961,0,[MILD] High risk: Age (SHAP: +0.0399)
16,0.1961,0,[MILD] High risk: PolicyType = 'Sedan - Collision' (SHAP: +0.0203)
16,0.1961,0,[MILD] Low risk: Make = 'Chevrolet' (SHAP: -0.0155)
17,0.1961,0,[MILD] High risk: Fault = 'Policy Holder' (SHAP: +0.0588)
17,0.1961,0,[MILD] High risk: BasePolicy = 'Liability' (SHAP: +0.0582)
17,0.1961,0,[MILD] High risk: PolicyType = 'Sedan - Collision' (SHAP: +0.0292)
17,0.1961,0,[MILD] High risk: BasePolicy = 'All Perils' (SHAP: +0.0180)
17,0.1961,0,[MILD] High risk: Age (SHAP: +0.0162)
18,0.1961,0,[MILD] High risk: BasePolicy = 'Liability' (SHAP: +0.0579)
18,0.1961,0,[MILD] High risk: Fault = 'Policy Holder' (SHAP: +0.0570)
18,0.1961,0,[MILD] High risk: Age (SHAP: +0.0398)
18,0.1961,0,[MILD] High risk: BasePolicy = 'All Perils' (SHAP: +0.0318)
18,0.1961,0,[MILD] High risk: PolicyType = 'Sedan - Collision' (SHAP: +0.0271)
19,0.1961,1,[MILD] High risk: BasePolicy = 'Liability' (SHAP: +0.0652)
19,0.1961,1,[MILD] High risk: Fault = 'Policy Holder' (SHAP: +0.0578)
19,0.1961,1,[MILD] High risk: PolicyType = 'Sedan - Collision' (SHAP: +0.0478)
19,0.1961,1,[MILD] High risk: BasePolicy = 'All Perils' (SHAP: +0.0181)
19,0.1961,1,[MILD] Low risk: Month = 'Jul' (SHAP: -0.0148)
20,0.1961,0,[MILD] High risk: BasePolicy = 'Liability' (SHAP: +0.0659)
20,0.1961,0,[MILD] High risk: Fault = 'Policy Holder' (SHAP: +0.0596)
20,0.1961,0,[MILD] High risk: PolicyType = 'Sedan - Collision' (SHAP: +0.0222)
20,0.1961,0,[MILD] High risk: Age (SHAP: +0.0158)
20,0.1961,0,[MILD] High risk: BasePolicy = 'All Perils' (SHAP: +0.0116)
21,0.1961,0,[MILD] High risk: BasePolicy = 'Liability' (SHAP: +0.0642)
21,0.1961,0,[MILD] High risk: Fault = 'Policy Holder' (SHAP: +0.0598)
21,0.1961,0,[MILD] High risk: PolicyType = 'Sedan - Collision' (SHAP: +0.0218)
21,0.1961,0,[MILD] High risk: Age (SHAP: +0.0140)
21,0.1961,0,[MILD] High risk: BasePolicy = 'All Perils' (SHAP: +0.0128)
22,0.1961,0,[MILD] High risk: BasePolicy = 'Liability' (SHAP: +0.0616)
22,0.1961,0,[MILD] High risk: Fault = 'Policy Holder' (SHAP: +0.0595)
22,0.1961,0,[MILD] High risk: PolicyType = 'Sedan - Collision' (SHAP: +0.0288)
22,0.1961,0,[MILD] High risk: BasePolicy = 'All Perils' (SHAP: +0.0180)
22,0.1961,0,[MILD] High risk: Age (SHAP: +0.0160)
23,0.1961,1,[MILD] High risk: BasePolicy = 'Liability' (SHAP: +0.0623)
23,0.1961,1,[MILD] High risk: Fault = 'Policy Holder' (SHAP: +0.0603)
23,0.1961,1,[MILD] High risk: PolicyType = 'Sedan - Collision' (SHAP: +0.0224)
23,0.1961,1,[MILD] High risk: Age (SHAP: +0.0175)
23,0.1961,1,[MILD] High risk: BasePolicy = 'All Perils' (SHAP: +0.0120)
24,0.1961,0,[MILD] High risk: BasePolicy = 'Liability' (SHAP: +0.0632)
24,0.1961,0,[MILD] High risk: Fault = 'Policy Holder' (SHAP: +0.0591)
24,0.1961,0,[MILD] High risk: PolicyType = 'Sedan - Collision' (SHAP: +0.0443)
24,0.1961,0,[MILD] Low risk: MonthClaimed = 'Nov' (SHAP: -0.0217)
24,0.1961,0,[MILD] High risk: Age (SHAP: +0.0164)
25,0.1961,1,[MILD] High risk: BasePolicy = 'Liability' (SHAP: +0.0671)
25,0.1961,1,[MILD] High risk: Fault = 'Policy Holder' (SHAP: +0.0596)
25,0.1961,1,[MILD] High risk: PolicyType = 'Sedan - Collision' (SHAP: +0.0218)
25,0.1961,1,[MILD] High risk: Age (SHAP: +0.0156)
25,0.1961,1,[MILD] High risk: BasePolicy = 'All Perils' (SHAP: +0.0117)
26,0.1961,0,[MILD] High risk: BasePolicy = 'Liability' (SHAP: +0.0640)
26,0.1961,0,[MILD] High risk: Fault = 'Policy Holder' (SHAP: +0.0595)
26,0.1961,0,[MILD] High risk: PolicyType = 'Sedan - Collision' (SHAP: +0.0222)
26,0.1961,0,[MILD] High risk: Age (SHAP: +0.0159)
26,0.1961,0,[MILD] High risk: BasePolicy = 'All Perils' (SHAP: +0.0116)
27,0.1961,0,[MILD] High risk: BasePolicy = 'Liability' (SHAP: +0.0642)
27,0.1961,0,[MILD] High risk: Fault = 'Policy Holder' (SHAP: +0.0603)
27,0.1961,0,[MILD] High risk: PolicyType = 'Sedan - Collision' (SHAP: +0.0224)
27,0.1961,0,[MILD] High risk: Age (SHAP: +0.0174)
27,0.1961,0,[MILD] High risk: BasePolicy = 'All Perils' (SHAP: +0.0116)
28,0.1961,0,[MILD] High risk: BasePolicy = 'Liability' (SHAP: +0.0663)
28,0.1961,0,[MILD] High risk: Fault = 'Policy Holder' (SHAP: +0.0595)
28,0.1961,0,[MILD] High risk: PolicyType = 'Sedan - Collision' (SHAP: +0.0222)
28,0.1961,0,[MILD] High risk: Age (SHAP: +0.0158)
28,0.1961,0,[MILD] High risk: BasePolicy = 'All Perils' (SHAP: +0.0116)
29,0.1961,0,[MILD] High risk: BasePolicy = 'Liability' (SHAP: +0.0645)
29,0.1961,0,[MILD] High risk: Fault = 'Policy Holder' (SHAP: +0.0595)
29,0.1961,0,[MILD] High risk: PolicyType = 'Sedan - Collision' (SHAP: +0.0222)
29,0.1961,0,[MILD] High risk: Age (SHAP: +0.0159)
29,0.1961,0,[MILD] High risk: BasePolicy = 'All Perils' (SHAP: +0.0116)
30,0.1961,0,[MILD] High risk: BasePolicy = 'Liability' (SHAP: +0.0654)
30,0.1961,0,[MILD] High risk: Fault = 'Policy Holder' (SHAP: +0.0605)
30,0.1961,0,[MILD] High risk: PolicyType = 'Sedan - Collision' (SHAP: +0.0224)
30,0.1961,0,[MILD] High risk: Age (SHAP: +0.0131)
30,0.1961,0,[MILD] High risk: BasePolicy = 'All Perils' (SHAP: +0.0127)
31,0.1961,0,[MILD] High risk: BasePolicy = 'Liability' (SHAP: +0.0645)
31,0.1961,0,[MILD] High risk: Fault = 'Policy Holder' (SHAP: +0.0603)
31,0.1961,0,[MILD] High risk: PolicyType = 'Sedan - Collision' (SHAP: +0.0224)
31,0.1961,0,[MILD] High risk: Age (SHAP: +0.0174)
31,0.1961,0,[MILD] High risk: BasePolicy = 'All Perils' (SHAP: +0.0116)
32,0.1961,0,[MILD] High risk: Fault = 'Policy Holder' (SHAP: +0.0582)
32,0.1961,0,[MILD] High risk: BasePolicy = 'Liability' (SHAP: +0.0573)
32,0.1961,0,[MILD] High risk: BasePolicy = 'All Perils' (SHAP: +0.0351)
32,0.1961,0,[MILD] High risk: PolicyType = 'Sedan - Collision' (SHAP: +0.0287)
32,0.1961,0,[MILD] Low risk: Month = 'Dec' (SHAP: -0.0188)
33,0.1961,1,[MILD] High risk: BasePolicy = 'Liability' (SHAP: +0.0645)
33,0.1961,1,[MILD] High risk: Fault = 'Policy Holder' (SHAP: +0.0596)
33,0.1961,1,[MILD] High risk: PolicyType = 'Sedan - Collision' (SHAP: +0.0222)
33,0.1961,1,[MILD] High risk: Age (SHAP: +0.0156)
33,0.1961,1,[MILD] High risk: BasePolicy = 'All Perils' (SHAP: +0.0117)
34,0.1961,0,[MILD] High risk: BasePolicy = 'Liability' (SHAP: +0.0635)
34,0.1961,0,[MILD] High risk: Fault = 'Policy Holder' (SHAP: +0.0602)
34,0.1961,0,[MILD] High risk: PolicyType = 'Sedan - Collision' (SHAP: +0.0222)
34,0.1961,0,[MILD] High risk: Age (SHAP: +0.0167)
34,0.1961,0,[MILD] High risk: BasePolicy = 'All Perils' (SHAP: +0.0120)
35,0.1961,0,[MILD] High risk: Fault = 'Policy Holder' (SHAP: +0.0595)
35,0.1961,0,[MILD] High risk: BasePolicy = 'Liability' (SHAP: +0.0564)
35,0.1961,0,[MILD] High risk: PolicyType = 'Sedan - Collision' (SHAP: +0.0223)
35,0.1961,0,[MILD] High risk: Days_Policy_Claim = '15 to 30' (SHAP: +0.0161)
35,0.1961,0,[MILD] High risk: Age (SHAP: +0.0160)
36,0.1961,0,[MILD] High risk: BasePolicy = 'Liability' (SHAP: +0.0644)
36,0.1961,0,[MILD] High risk: Fault = 'Policy Holder' (SHAP: +0.0590)
36,0.1961,0,[MILD] High risk: PolicyType = 'Sedan - Collision' (SHAP: +0.0202)
36,0.1961,0,[MILD] High risk: Age (SHAP: +0.0159)
36,0.1961,0,[MILD] High risk: BasePolicy = 'All Perils' (SHAP: +0.0121)
37,0.1961,0,[MILD] High risk: BasePolicy = 'Liability' (SHAP: +0.0660)
37,0.1961,0,[MILD] High risk: Fault = 'Policy Holder' (SHAP: +0.0589)
37,0.1961,0,[MILD] High risk: PolicyType = 'Sedan - Collision' (SHAP: +0.0288)
37,0.1961,0,[MILD] High risk: BasePolicy = 'All Perils' (SHAP: +0.0180)
37,0.1961,0,[MILD] High risk: Age (SHAP: +0.0155)
38,0.1961,0,[MILD] High risk: BasePolicy = 'Liability' (SHAP: +0.0642)
38,0.1961,0,[MILD] High risk: Fault = 'Policy Holder' (SHAP: +0.0598)
38,0.1961,0,[MILD] High risk: PolicyType = 'Sedan - Collision' (SHAP: +0.0223)
38,0.1961,0,[MILD] High risk: Age (SHAP: +0.0144)
38,0.1961,0,[MILD] High risk: BasePolicy = 'All Perils' (SHAP: +0.0127)
39,0.1961,1,[MILD] High risk: BasePolicy = 'Liability' (SHAP: +0.0653)
39,0.1961,1,[MILD] High risk: Fault = 'Policy Holder' (SHAP: +0.0596)
39,0.1961,1,[MILD] High risk: PolicyType = 'Sedan - Collision' (SHAP: +0.0219)
39,0.1961,1,[MILD] High risk: Age (SHAP: +0.0158)
39,0.1961,1,[MILD] High risk: BasePolicy = 'All Perils' (SHAP: +0.0117)
40,0.1961,0,[MILD] High risk: BasePolicy = 'Liability' (SHAP: +0.0666)
40,0.1961,0,[MILD] High risk: Fault = 'Policy Holder' (SHAP: +0.0587)
40,0.1961,0,[MILD] High risk: PolicyType = 'Sedan - Collision' (SHAP: +0.0279)
40,0.1961,0,[MILD] High risk: BasePolicy = 'All Perils' (SHAP: +0.0181)
40,0.1961,0,[MILD] High risk: Age (SHAP: +0.0158)
41,0.1961,0,[MILD] High risk: BasePolicy = 'Liability' (SHAP: +0.0650)
41,0.1961,0,[MILD] High risk: Fault = 'Policy Holder' (SHAP: +0.0592)
41,0.1961,0,[MILD] High risk: PolicyType = 'Sedan - Collision' (SHAP: +0.0206)
41,0.1961,0,[MILD] High risk: BasePolicy = 'All Perils' (SHAP: +0.0128)
41,0.1961,0,[MILD] High risk: Age (SHAP: +0.0121)
42,0.1961,0,[MILD] High risk: BasePolicy = 'Liability' (SHAP: +0.0653)
